Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
7290000.0,Вторичное,опалиха,6.0,Московская область,1.0,38.4,10.4,14.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/292981833
7300000.0,Вторичное,опалиха,5.0,Московская область,1.0,39.3,13.2,22.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/286629827
7300000.0,Вторичное,павшино,7.0,Московская область,1.0,39.3,9.4,3.0,14.0,Косметический,https://www.cian.ru/sale/flat/292157894
7400000.0,Вторичное,опалиха,6.0,Московская область,1.0,39.5,15.1,22.0,25.0,Косметический,https://www.cian.ru/sale/flat/291187151
7400000.0,Вторичное,красногорская,6.0,Московская область,1.0,34.0,8.0,9.0,9.0,Евроремонт,https://www.cian.ru/sale/flat/269089766
7499000.0,Вторичное,опалиха,4.0,Московская область,1.0,32.0,10.0,2.0,8.0,Без ремонта,https://www.cian.ru/sale/flat/293889950
7450000.0,Вторичное,опалиха,10.0,Московская область,1.0,32.2,9.1,9.0,12.0,Евроремонт,https://www.cian.ru/sale/flat/285313892
7500000.0,Вторичное,павшино,12.0,Московская область,1.0,32.0,10.0,7.0,21.0,Евроремонт,https://www.cian.ru/sale/flat/293754822
7500000.0,Вторичное,митино,12.0,Московская область,1.0,57.0,12.0,1.0,10.0,Косметический,https://www.cian.ru/sale/flat/293711275
7500000.0,Вторичное,опалиха,6.0,Московская область,1.0,37.4,11.1,5.0,25.0,Без ремонта,https://www.cian.ru/sale/flat/293807807
7500000.0,Вторичное,опалиха,6.0,Московская область,1.0,34.0,10.0,20.0,27.0,Косметический,https://www.cian.ru/sale/flat/289865352
7500000.0,Вторичное,красногорская,4.0,Московская область,1.0,34.6,7.0,12.0,12.0,Евроремонт,https://www.cian.ru/sale/flat/287297211
7590000.0,Вторичное,опалиха,6.0,Московская область,1.0,35.5,9.0,8.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/292176640
