Минут до метро,Количество комнат,Площадь,Этаж,Количество этажей,Цена
7.0,2.0,50.0,3.0,14,8600000.0
2.0,2.0,44.0,1.0,8,8550000.0
6.0,2.0,51.6,5.0,9,8700000.0
5.0,2.0,53.4,2.0,5,8750000.0
6.0,2.0,48.6,15.0,26,8950000.0
5.0,2.0,54.0,6.0,9,9000000.0
18.0,2.0,42.6,1.0,45,9070000.0
3.0,2.0,60.9,1.0,3,9074100.0
6.0,2.0,44.8,4.0,5,9000000.0
3.0,2.0,60.0,2.0,3,9103900.0
35.0,2.0,53.1,14.0,18,9150000.0
15.0,2.0,52.0,11.0,12,9200000.0
6.0,2.0,48.8,8.0,26,9200000.0
6.0,2.0,47.2,1.0,8,9200000.0
5.0,2.0,57.0,1.0,8,9250000.0
3.0,2.0,40.0,9.0,14,9300000.0
17.0,2.0,53.9,16.0,18,9450000.0
13.0,2.0,41.7,2.0,4,9500000.0
19.0,2.0,48.0,1.0,9,9500000.0
8.0,2.0,52.0,17.0,26,9500000.0
15.0,2.0,47.0,5.0,18,9500000.0
13.0,2.0,45.1,17.0,25,9500000.0
5.0,2.0,47.9,2.0,3,9500000.0
10.0,2.0,35.0,6.0,8,9600000.0
15.0,2.0,52.1,10.0,12,9600000.0
29.0,2.0,60.9,1.0,3,9700000.0
6.0,2.0,47.1,2.0,5,9650000.0
6.0,2.0,66.0,10.0,25,9800000.0
8.0,2.0,45.0,8.0,8,9800000.0
15.0,2.0,57.9,1.0,1,9900000.0
8.0,2.0,55.3,2.0,18,9900000.0
13.0,2.0,43.5,13.0,25,9850000.0
8.0,2.0,53.7,5.0,9,9900000.0
12.0,2.0,43.5,13.0,25,9850000.0
13.0,2.0,51.0,12.0,25,10000000.0
6.0,2.0,52.0,3.0,17,10000000.0
11.0,2.0,53.4,16.0,17,9999000.0
37.0,2.0,60.2,11.0,25,10000000.0
6.0,2.0,53.2,5.0,18,10000000.0
12.0,2.0,40.1,2.0,25,10200000.0
9.0,2.0,53.4,4.0,14,10150000.0
8.0,2.0,48.2,28.0,35,10190000.0
3.0,2.0,54.8,8.0,18,10300000.0
6.0,2.0,56.0,17.0,25,10300000.0
8.0,2.0,38.6,16.0,33,10300000.0
13.0,2.0,61.8,2.0,5,10300000.0
15.0,2.0,55.2,8.0,8,10500000.0
6.0,2.0,57.0,15.0,25,10500000.0
12.0,2.0,60.0,1.0,17,10500000.0
9.0,2.0,52.1,3.0,25,10500000.0
7.0,2.0,52.0,12.0,14,10500000.0
6.0,2.0,83.7,2.0,24,10500000.0
18.0,2.0,60.8,10.0,24,10600000.0
7.0,2.0,49.6,10.0,14,10650000.0
4.0,2.0,57.0,1.0,8,10650000.0
6.0,2.0,72.0,7.0,25,10670000.0
7.0,2.0,58.7,8.0,25,10750000.0
23.0,2.0,67.7,4.0,22,10900000.0
9.0,2.0,53.6,19.0,26,10900000.0
8.0,2.0,50.0,5.0,25,11000000.0
16.0,2.0,63.3,4.0,8,11000000.0
18.0,2.0,33.0,11.0,23,11050001.0
13.0,2.0,57.0,2.0,5,11300000.0
5.0,3.0,108.8,3.0,3,108800000.0
9.0,3.0,96.9,2.0,5,53000000.0
6.0,3.0,63.2,40.0,41,44240000.0
6.0,3.0,145.0,3.0,6,105000000.0
9.0,3.0,103.8,6.0,6,47000000.0
6.0,3.0,111.0,5.0,6,67990000.0
10.0,3.0,117.0,3.0,5,170000000.0
9.0,3.0,237.2,14.0,14,224900000.0
11.0,3.0,92.0,4.0,21,52500000.0
13.0,3.0,109.0,35.0,58,38000000.0
11.0,3.0,86.0,2.0,9,95700000.0
7.0,3.0,83.5,16.0,22,22450000.0
1.0,3.0,104.0,3.0,15,67000000.0
10.0,3.0,77.1,22.0,25,17500000.0
5.0,3.0,106.7,15.0,17,41500000.0
28.0,3.0,70.0,2.0,14,46000000.0
11.0,3.0,141.0,3.0,15,179000000.0
8.0,3.0,237.0,14.0,14,222000000.0
8.0,3.0,84.9,18.0,31,39900000.0
7.0,3.0,75.7,7.0,17,39000000.0
5.0,3.0,112.3,16.0,25,51000000.0
5.0,3.0,97.0,7.0,18,145000000.0
5.0,3.0,97.0,5.0,14,86000000.0
7.0,3.0,95.0,11.0,21,100000000.0
4.0,3.0,95.5,29.0,29,33999000.0
13.0,3.0,77.0,4.0,6,36000000.0
6.0,3.0,110.0,36.0,40,42700000.0
5.0,3.0,90.53,10.0,21,100000000.0
13.0,3.0,121.0,16.0,39,115000000.0
8.0,3.0,68.5,4.0,6,24500000.0
14.0,3.0,62.5,3.0,12,26000000.0
17.0,3.0,82.2,37.0,41,56650000.0
15.0,3.0,91.4,10.0,41,72000000.0
16.0,3.0,95.7,3.0,7,115000000.0
6.0,3.0,118.7,3.0,5,115732500.0
5.0,3.0,128.0,3.0,6,195000000.0
13.0,3.0,151.0,2.0,7,290000000.0
13.0,3.0,73.0,12.0,30,37500000.0
9.0,3.0,83.0,7.0,13,99600000.0
8.0,3.0,83.0,7.0,13,99600000.0
11.0,3.0,141.0,3.0,15,179000000.0
17.0,3.0,87.0,15.0,22,44000000.0
10.0,3.0,169.0,4.0,6,170000000.0
8.0,3.0,137.0,9.0,15,250000000.0
7.0,3.0,75.0,1.0,7,49899998.0
10.0,3.0,79.9,2.0,2,55600000.0
9.0,3.0,120.0,2.0,14,99000000.0
5.0,3.0,114.0,7.0,21,131000000.0
5.0,3.0,140.0,2.0,4,238840000.0
9.0,3.0,82.5,31.0,53,48000000.0
10.0,3.0,106.1,48.0,58,40500000.0
