const,Количество комнат,Площадь,Цена
1.0,2.0,52.1,10500000.0
1.0,2.0,52.0,10500000.0
1.0,2.0,83.7,10500000.0
1.0,2.0,60.8,10600000.0
1.0,2.0,49.6,10650000.0
1.0,2.0,57.0,10650000.0
1.0,2.0,72.0,10670000.0
1.0,2.0,58.7,10750000.0
1.0,2.0,67.7,10900000.0
1.0,2.0,53.6,10900000.0
1.0,2.0,50.0,11000000.0
1.0,2.0,63.3,11000000.0
1.0,2.0,33.0,11050001.0
1.0,2.0,57.0,11300000.0
1.0,3.0,108.8,108800000.0
1.0,3.0,96.9,53000000.0
1.0,3.0,63.2,44240000.0
1.0,3.0,145.0,105000000.0
1.0,3.0,103.8,47000000.0
1.0,3.0,111.0,67990000.0
1.0,3.0,117.0,170000000.0
1.0,3.0,237.2,224900000.0
1.0,3.0,92.0,52500000.0
1.0,3.0,109.0,38000000.0
1.0,3.0,86.0,95700000.0
1.0,3.0,83.5,22450000.0
1.0,3.0,104.0,67000000.0
1.0,3.0,77.1,17500000.0
1.0,3.0,106.7,41500000.0
1.0,3.0,70.0,46000000.0
1.0,3.0,141.0,179000000.0
1.0,3.0,237.0,222000000.0
1.0,3.0,84.9,39900000.0
1.0,3.0,75.7,39000000.0
1.0,3.0,112.3,51000000.0
1.0,3.0,97.0,145000000.0
1.0,3.0,97.0,86000000.0
1.0,3.0,95.0,100000000.0
1.0,3.0,95.5,33999000.0
1.0,3.0,77.0,36000000.0
1.0,3.0,110.0,42700000.0
1.0,3.0,90.53,100000000.0
1.0,3.0,121.0,115000000.0
1.0,3.0,68.5,24500000.0
1.0,3.0,62.5,26000000.0
1.0,3.0,82.2,56650000.0
1.0,3.0,91.4,72000000.0
1.0,3.0,95.7,115000000.0
1.0,3.0,118.7,115732500.0
1.0,3.0,128.0,195000000.0
1.0,3.0,151.0,290000000.0
1.0,3.0,73.0,37500000.0
1.0,3.0,83.0,99600000.0
1.0,3.0,83.0,99600000.0
1.0,3.0,141.0,179000000.0
1.0,3.0,87.0,44000000.0
1.0,3.0,169.0,170000000.0
1.0,3.0,137.0,250000000.0
1.0,3.0,75.0,49899998.0
1.0,3.0,79.9,55600000.0
1.0,3.0,120.0,99000000.0
1.0,3.0,114.0,131000000.0
1.0,3.0,140.0,238840000.0
1.0,3.0,82.5,48000000.0
1.0,3.0,106.1,40500000.0
1.0,3.0,105.6,43500000.0
1.0,3.0,100.0,120000000.0
1.0,3.0,111.0,144170000.0
1.0,3.0,113.9,148070000.0
1.0,3.0,188.5,175000000.0
1.0,3.0,90.0,27300000.0
1.0,3.0,90.8,33800000.0
1.0,3.0,81.6,45000000.0
1.0,3.0,126.0,59850000.0
1.0,3.0,94.1,41000000.0
1.0,3.0,118.6,43000000.0
1.0,3.0,93.8,53000000.0
1.0,3.0,91.0,55000000.0
1.0,3.0,103.0,64000000.0
1.0,3.0,91.0,72000000.0
1.0,3.0,105.0,75000000.0
1.0,3.0,130.0,99000000.0
1.0,3.0,135.0,124000000.0
1.0,3.0,85.5,48990000.0
1.0,3.0,126.3,75000000.0
1.0,3.0,95.0,145000000.0
1.0,3.0,152.5,205875000.0
1.0,3.0,127.4,56000000.0
1.0,3.0,75.3,65000000.0
1.0,3.0,187.0,115000000.0
1.0,3.0,163.7,224900000.0
1.0,3.0,80.0,23800000.0
1.0,3.0,92.9,36000000.0
1.0,3.0,190.0,113500000.0
1.0,3.0,118.7,142440000.0
1.0,3.0,72.2,34000000.0
1.0,3.0,98.5,35490000.0
1.0,3.0,133.0,52000000.0
1.0,3.0,99.0,56500000.0
1.0,3.0,76.0,59000000.0
1.0,3.0,184.6,182000000.0
1.0,3.0,75.0,46900000.0
1.0,3.0,143.3,48500000.0
1.0,3.0,98.2,51000000.0
1.0,3.0,90.0,60000000.0
1.0,3.0,192.0,97000000.0
1.0,3.0,237.2,224900000.0
1.0,3.0,54.0,11990000.0
1.0,3.0,62.0,12900000.0
1.0,3.0,72.0,15500000.0
1.0,3.0,62.0,24800000.0
1.0,3.0,62.7,27500000.0
1.0,3.0,93.5,31800000.0
1.0,3.0,98.0,64000000.0
1.0,3.0,104.0,74800000.0
1.0,3.0,192.0,105000000.0
1.0,3.0,71.2,44988700.0
1.0,3.0,84.0,64500000.0
1.0,3.0,127.6,128000000.0
1.0,3.0,94.0,153000000.0
1.0,3.0,57.4,26700000.0
1.0,3.0,81.25,39500000.0
1.0,3.0,77.2,41500000.0
1.0,3.0,70.0,42990000.0
1.0,3.0,91.5,45000000.0
1.0,3.0,99.0,57000000.0
1.0,3.0,90.0,64900000.0
1.0,3.0,100.0,78000000.0
1.0,3.0,105.5,190000000.0
1.0,3.0,142.8,250000000.0
1.0,3.0,63.0,12000000.0
1.0,3.0,60.6,14450000.0
1.0,3.0,60.0,14500000.0
1.0,3.0,84.0,24287000.0
1.0,3.0,80.0,26500000.0
1.0,3.0,77.2,33500000.0
1.0,3.0,82.0,36900000.0
1.0,3.0,78.2,41990000.0
1.0,3.0,107.3,45000000.0
1.0,3.0,85.8,45000000.0
1.0,3.0,91.0,47900000.0
1.0,3.0,89.0,49990000.0
1.0,3.0,88.6,50990000.0
1.0,3.0,121.0,76000000.0
1.0,3.0,163.5,82000000.0
1.0,3.0,148.7,147213000.0
1.0,3.0,105.4,190000000.0
1.0,3.0,60.0,12800000.0
1.0,3.0,60.0,17650000.0
1.0,3.0,55.0,24000050.0
1.0,3.0,68.5,30800000.0
1.0,3.0,85.0,32300000.0
1.0,3.0,57.0,34000000.0
1.0,3.0,117.9,39200000.0
1.0,3.0,88.0,39700000.0
1.0,3.0,90.0,41000000.0
1.0,3.0,103.8,44000000.0
1.0,3.0,79.0,45000000.0
1.0,3.0,123.8,46000000.0
1.0,3.0,66.3,49900000.0
1.0,3.0,110.0,55000000.0
1.0,3.0,90.0,58000000.0
1.0,3.0,112.0,64000000.0
1.0,3.0,102.9,67000000.0
1.0,3.0,100.9,70000000.0
1.0,3.0,160.0,69990000.0
1.0,3.0,102.0,69900000.0
1.0,3.0,120.9,76000000.0
1.0,3.0,141.5,93000000.0
1.0,3.0,100.0,96000000.0
1.0,3.0,126.6,99000000.0
