Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Вторичное,опалиха,6.0,Московская область,1.0,30.6,8.5,25.0,25.0,Косметический,6300000.0
Вторичное,павшино,2.0,Московская область,1.0,49.2,10.0,6.0,15.0,Евроремонт,9000000.0
Вторичное,мякинино,14.0,Московская область,1.0,44.7,13.1,10.0,25.0,Косметический,11090000.0
Вторичное,строгино,8.0,Московская область,1.0,35.1,11.0,12.0,33.0,Евроремонт,8300000.0
Вторичное,опалиха,6.0,Московская область,1.0,37.7,4.0,5.0,5.0,Без ремонта,6450000.0
Вторичное,опалиха,6.0,Московская область,1.0,38.4,8.0,8.0,18.0,Евроремонт,7150000.0
Вторичное,нахабино,11.0,Московская область,1.0,33.0,8.0,7.0,7.0,Евроремонт,7400000.0
Вторичное,строгино,27.0,Московская область,1.0,25.0,8.7,16.0,16.0,Евроремонт,7500000.0
Вторичное,красногорская,6.0,Московская область,1.0,41.8,10.0,6.0,17.0,Косметический,7800000.0
Вторичное,тушинская,12.0,Московская область,1.0,44.0,11.0,11.0,24.0,Дизайнерский,7999999.0
Вторичное,аникеевка,17.0,Московская область,1.0,44.8,10.3,5.0,6.0,Евроремонт,9000000.0
Вторичное,волоколамская,16.0,Московская область,1.0,39.0,9.9,26.0,30.0,Дизайнерский,12300000.0
Вторичное,волоколамская,12.0,Московская область,1.0,48.0,9.0,12.0,28.0,Дизайнерский,14000000.0
Вторичное,павшино,3.0,Московская область,1.0,33.8,7.0,4.0,9.0,Без ремонта,6000000.0
Вторичное,красногорская,19.0,Московская область,1.0,32.7,6.0,9.0,9.0,Евроремонт,6200000.0
Вторичное,красногорская,19.0,Московская область,1.0,32.1,9.3,2.0,9.0,Без ремонта,6300000.0
Вторичное,опалиха,7.0,Московская область,1.0,34.9,9.0,2.0,14.0,Косметический,6500000.0
Вторичное,опалиха,7.0,Московская область,1.0,38.0,9.0,8.0,14.0,Евроремонт,6800000.0
Вторичное,опалиха,6.0,Московская область,1.0,40.0,9.8,17.0,24.0,Евроремонт,7350000.0
Вторичное,красногорская,6.0,Московская область,1.0,47.6,12.0,8.0,11.0,Косметический,8100000.0
Вторичное,опалиха,12.0,Московская область,1.0,32.5,9.3,1.0,8.0,Дизайнерский,8200000.0
Вторичное,строгино,8.0,Московская область,1.0,36.5,15.0,23.0,33.0,Дизайнерский,8600000.0
Вторичное,опалиха,5.0,Московская область,1.0,33.75,8.6,3.0,8.0,Дизайнерский,9200000.0
Вторичное,волоколамская,15.0,Московская область,1.0,39.1,11.0,17.0,29.0,Без ремонта,9300000.0
Вторичное,мякинино,16.0,Московская область,1.0,38.0,9.8,6.0,19.0,Дизайнерский,10099000.0
Вторичное,строгино,11.0,Московская область,1.0,50.8,11.6,14.0,22.0,Косметический,11000000.0
Вторичное,мякинино,16.0,Московская область,1.0,38.1,9.8,5.0,19.0,Дизайнерский,14000000.0
Вторичное,опалиха,6.0,Московская область,1.0,39.5,12.0,20.0,26.0,Евроремонт,7800000.0
Вторичное,опалиха,7.0,Московская область,1.0,39.5,14.1,2.0,26.0,Евроремонт,7750000.0
Вторичное,опалиха,5.0,Московская область,1.0,44.0,11.6,10.0,25.0,Косметический,8300000.0
Вторичное,пенягино,16.0,Московская область,1.0,32.1,18.0,23.0,16.0,Евроремонт,8500000.0
Вторичное,пенягино,9.0,Московская область,1.0,42.0,10.1,4.0,23.0,Косметический,9400000.0
Вторичное,мякинино,20.0,Московская область,1.0,37.7,7.4,8.0,17.0,Без ремонта,9500000.0
Вторичное,мякинино,20.0,Московская область,1.0,38.6,9.8,16.0,17.0,Косметический,9600000.0
Вторичное,митино,7.0,Московская область,1.0,42.3,10.1,7.0,17.0,Евроремонт,9700000.0
Вторичное,строгино,8.0,Московская область,1.0,38.6,12.0,16.0,32.0,Евроремонт,10300000.0
Вторичное,мякинино,15.0,Московская область,1.0,43.0,5.0,3.0,17.0,Евроремонт,11000000.0
Вторичное,пенягино,16.0,Московская область,1.0,36.5,9.7,5.0,16.0,Дизайнерский,11680000.0
Вторичное,павшино,2.0,Московская область,1.0,28.0,7.0,12.0,31.0,Дизайнерский,11900000.0
Вторичное,красногорская,12.0,Московская область,1.0,18.3,2.3,5.0,5.0,Косметический,4200000.0
Вторичное,павшино,6.0,Московская область,1.0,31.0,6.0,1.0,4.0,Косметический,5250000.0
Вторичное,красногорская,13.0,Московская область,1.0,31.0,6.0,5.0,5.0,Косметический,5450000.0
Вторичное,опалиха,12.0,Московская область,1.0,45.0,7.0,1.0,3.0,Косметический,5700000.0
Вторичное,опалиха,7.0,Московская область,1.0,26.6,5.0,23.0,26.0,Евроремонт,5790000.0
Вторичное,павшино,5.0,Московская область,1.0,32.5,7.0,7.0,9.0,Косметический,5800000.0
Вторичное,павшино,12.0,Московская область,1.0,28.3,6.0,3.0,5.0,Без ремонта,5800000.0
Вторичное,павшино,4.0,Московская область,1.0,23.0,3.5,4.0,5.0,Косметический,5840000.0
Вторичное,павшино,10.0,Московская область,1.0,31.0,9.2,3.0,5.0,Косметический,5800000.0
Вторичное,павшино,4.0,Московская область,1.0,23.0,3.5,4.0,5.0,Косметический,6000000.0
Вторичное,опалиха,7.0,Московская область,1.0,30.5,9.5,13.0,25.0,Евроремонт,6100000.0
Вторичное,опалиха,6.0,Московская область,1.0,39.0,9.9,7.0,18.0,Косметический,6100000.0
Вторичное,опалиха,6.0,Московская область,1.0,39.0,9.9,5.0,18.0,Косметический,6100000.0
Вторичное,опалиха,19.0,Московская область,1.0,32.0,9.3,1.0,7.0,Косметический,6100000.0
Вторичное,красногорская,7.0,Московская область,1.0,32.0,6.0,4.0,5.0,Евроремонт,6200000.0
Вторичное,павшино,7.0,Московская область,1.0,30.0,8.3,25.0,25.0,Косметический,6300000.0
Вторичное,пенягино,8.0,Московская область,1.0,19.5,8.3,2.0,22.0,Дизайнерский,6300000.0
Вторичное,красногорская,6.0,Московская область,1.0,34.7,10.0,11.0,16.0,Без ремонта,6499000.0
Вторичное,тушинская,17.0,Московская область,1.0,31.8,10.0,19.0,25.0,Косметический,6500000.0
Вторичное,опалиха,16.0,Московская область,1.0,34.0,11.0,4.0,12.0,Косметический,6550000.0
Вторичное,опалиха,16.0,Московская область,1.0,34.0,11.0,6.0,12.0,Косметический,6650000.0
Вторичное,опалиха,19.0,Московская область,1.0,34.0,6.0,1.0,6.0,Евроремонт,6750000.0
Вторичное,опалиха,7.0,Московская область,1.0,35.5,11.5,12.0,25.0,Косметический,6800000.0
Вторичное,опалиха,16.0,Московская область,1.0,40.8,14.9,2.0,8.0,Без ремонта,6800000.0
Вторичное,опалиха,15.0,Московская область,1.0,35.5,11.5,2.0,12.0,Без ремонта,6800000.0
Вторичное,тушинская,16.0,Московская область,1.0,35.4,8.4,4.0,14.0,Евроремонт,6890000.0
Вторичное,опалиха,5.0,Московская область,1.0,37.9,9.0,9.0,18.0,Косметический,6800000.0
Вторичное,павшино,14.0,Московская область,1.0,35.1,8.0,5.0,9.0,Косметический,6800000.0
Вторичное,красногорская,18.0,Московская область,1.0,29.0,5.0,5.0,5.0,Евроремонт,6990000.0
Вторичное,красногорская,8.0,Московская область,1.0,37.0,10.1,15.0,24.0,Косметический,7000000.0
Вторичное,опалиха,6.0,Московская область,1.0,32.6,8.7,3.0,9.0,Евроремонт,7000000.0
Вторичное,павшино,20.0,Московская область,1.0,46.0,8.0,11.0,25.0,Без ремонта,7000000.0
Вторичное,красногорская,12.0,Московская область,1.0,38.0,9.0,9.0,14.0,Косметический,7000000.0
Вторичное,опалиха,5.0,Московская область,1.0,39.6,8.2,2.0,18.0,Евроремонт,7100000.0
Вторичное,тушинская,17.0,Московская область,1.0,40.0,9.9,4.0,25.0,Косметический,7200000.0
Вторичное,опалиха,7.0,Московская область,1.0,35.6,11.4,7.0,24.0,Евроремонт,7200000.0
Вторичное,опалиха,6.0,Московская область,1.0,40.0,8.2,2.0,11.0,Евроремонт,7200000.0
Вторичное,красногорская,15.0,Московская область,1.0,32.0,6.0,3.0,5.0,Косметический,7200000.0
Вторичное,опалиха,6.0,Московская область,1.0,38.0,8.0,7.0,17.0,Косметический,7200000.0
Вторичное,красногорская,8.0,Московская область,1.0,39.5,9.9,2.0,18.0,Косметический,7200000.0
Вторичное,опалиха,6.0,Московская область,1.0,38.4,10.4,14.0,26.0,Евроремонт,7290000.0
Вторичное,опалиха,5.0,Московская область,1.0,39.3,13.2,22.0,25.0,Евроремонт,7300000.0
Вторичное,павшино,7.0,Московская область,1.0,39.3,9.4,3.0,14.0,Косметический,7300000.0
Вторичное,опалиха,6.0,Московская область,1.0,39.5,15.1,22.0,25.0,Косметический,7400000.0
Вторичное,красногорская,6.0,Московская область,1.0,34.0,8.0,9.0,9.0,Евроремонт,7400000.0
Вторичное,опалиха,4.0,Московская область,1.0,32.0,10.0,2.0,8.0,Без ремонта,7499000.0
Вторичное,опалиха,10.0,Московская область,1.0,32.2,9.1,9.0,12.0,Евроремонт,7450000.0
Вторичное,павшино,12.0,Московская область,1.0,32.0,10.0,7.0,21.0,Евроремонт,7500000.0
Вторичное,митино,12.0,Московская область,1.0,57.0,12.0,1.0,10.0,Косметический,7500000.0
Вторичное,опалиха,6.0,Московская область,1.0,37.4,11.1,5.0,25.0,Без ремонта,7500000.0
Вторичное,опалиха,6.0,Московская область,1.0,34.0,10.0,20.0,27.0,Косметический,7500000.0
Вторичное,красногорская,4.0,Московская область,1.0,34.6,7.0,12.0,12.0,Евроремонт,7500000.0
Вторичное,опалиха,6.0,Московская область,1.0,35.5,9.0,8.0,25.0,Евроремонт,7590000.0
Вторичное,красногорская,6.0,Московская область,1.0,39.0,9.0,3.0,18.0,Косметический,7600000.0
Вторичное,опалиха,5.0,Московская область,1.0,46.8,7.7,1.0,10.0,Косметический,7720000.0
Вторичное,опалиха,7.0,Московская область,1.0,38.8,13.3,24.0,25.0,Косметический,7700000.0
Вторичное,опалиха,6.0,Московская область,1.0,38.1,10.0,20.0,26.0,Евроремонт,7650000.0
Вторичное,опалиха,7.0,Московская область,1.0,34.6,10.0,25.0,26.0,Евроремонт,7750000.0
Вторичное,павшино,4.0,Московская область,1.0,39.4,9.9,12.0,12.0,Косметический,7800000.0
Вторичное,красногорская,6.0,Московская область,1.0,40.4,11.1,1.0,17.0,Косметический,7800000.0
Вторичное,аникеевка,6.0,Московская область,1.0,39.5,12.0,20.0,26.0,Косметический,7800000.0
Вторичное,красногорская,12.0,Московская область,1.0,41.1,10.0,8.0,14.0,Косметический,7750000.0
Вторичное,опалиха,6.0,Московская область,1.0,37.0,9.1,24.0,26.0,Дизайнерский,7800000.0
Вторичное,павшино,11.0,Московская область,1.0,33.4,9.4,2.0,8.0,Евроремонт,7950000.0
Вторичное,павшино,7.0,Московская область,1.0,36.0,8.0,3.0,4.0,Евроремонт,7900000.0
Вторичное,опалиха,16.0,Московская область,1.0,34.1,9.0,1.0,8.0,Евроремонт,7900000.0
Вторичное,красногорская,12.0,Московская область,1.0,37.6,9.8,4.0,24.0,Косметический,7900000.0
Вторичное,опалиха,12.0,Московская область,1.0,33.7,9.4,10.0,12.0,Евроремонт,7999000.0
Вторичное,красногорская,20.0,Московская область,1.0,40.0,19.0,5.0,9.0,Евроремонт,8000000.0
Вторичное,опалиха,19.0,Московская область,1.0,33.0,9.4,6.0,10.0,Евроремонт,8000000.0
Вторичное,опалиха,14.0,Московская область,1.0,33.5,9.0,1.0,8.0,Евроремонт,8000000.0
Вторичное,опалиха,4.0,Московская область,1.0,38.4,9.8,2.0,8.0,Без ремонта,8100000.0
Вторичное,красногорская,8.0,Московская область,1.0,47.8,11.6,2.0,7.0,Дизайнерский,8199000.0
Вторичное,опалиха,6.0,Московская область,1.0,47.2,12.0,19.0,26.0,Косметический,8200000.0
Вторичное,митино,7.0,Московская область,1.0,35.3,8.3,5.0,17.0,Евроремонт,8200000.0
Вторичное,павшино,12.0,Московская область,1.0,30.0,9.1,10.0,21.0,Дизайнерский,8150000.0
Вторичное,опалиха,6.0,Московская область,1.0,38.6,9.3,18.0,25.0,Евроремонт,8290000.0
Вторичное,строгино,8.0,Московская область,1.0,34.1,11.2,21.0,16.0,Дизайнерский,8290000.0
Вторичное,опалиха,7.0,Московская область,1.0,34.2,12.0,4.0,26.0,Евроремонт,8300000.0
Вторичное,пенягино,14.0,Московская область,1.0,31.9,10.0,11.0,16.0,Евроремонт,8490000.0
Вторичное,опалиха,6.0,Московская область,1.0,43.5,10.2,3.0,8.0,Без ремонта,8400000.0
Вторичное,павшино,6.0,Московская область,1.0,44.0,20.0,17.0,17.0,Косметический,8500000.0
Вторичное,опалиха,6.0,Московская область,1.0,36.4,9.7,3.0,25.0,Дизайнерский,8500000.0
Вторичное,митино,12.0,Московская область,1.0,39.2,10.4,14.0,25.0,Евроремонт,8500000.0
Вторичное,опалиха,6.0,Московская область,1.0,48.5,13.5,15.0,17.0,Евроремонт,8600000.0
Вторичное,красногорская,10.0,Московская область,1.0,44.0,10.0,5.0,14.0,Евроремонт,8600000.0
Вторичное,опалиха,5.0,Московская область,1.0,47.6,11.5,18.0,25.0,Евроремонт,8700000.0
Вторичное,павшино,8.0,Московская область,1.0,41.6,18.0,20.0,23.0,Косметический,8700000.0
Вторичное,павшино,5.0,Московская область,1.0,37.9,9.8,1.0,12.0,Косметический,8700000.0
Вторичное,красногорская,6.0,Московская область,1.0,43.0,11.0,2.0,14.0,Косметический,8700000.0
Вторичное,мякинино,16.0,Московская область,1.0,36.3,8.0,4.0,19.0,Без ремонта,8690000.0
Вторичное,красногорская,7.0,Московская область,1.0,48.0,13.0,10.0,17.0,Евроремонт,8875000.0
Вторичное,красногорская,12.0,Московская область,1.0,46.0,13.0,15.0,16.0,Косметический,8990000.0
Вторичное,павшино,8.0,Московская область,1.0,42.9,13.0,1.0,24.0,Дизайнерский,8999999.0
Вторичное,аникеевка,6.0,Московская область,1.0,45.0,13.0,8.0,24.0,Евроремонт,8950000.0
Вторичное,пенягино,10.0,Московская область,1.0,39.0,10.0,16.0,25.0,Евроремонт,8900000.0
Вторичное,мякинино,24.0,Московская область,1.0,40.5,12.0,16.0,25.0,Евроремонт,8900000.0
Вторичное,пенягино,12.0,Московская область,1.0,39.7,9.9,10.0,25.0,Косметический,8950000.0
Вторичное,павшино,19.0,Московская область,1.0,39.9,8.0,16.0,17.0,Евроремонт,9050000.0
Вторичное,строгино,8.0,Московская область,1.0,38.0,15.0,7.0,33.0,Евроремонт,9000000.0
Вторичное,павшино,8.0,Московская область,1.0,40.0,20.0,10.0,21.0,Евроремонт,9249000.0
Вторичное,опалиха,6.0,Московская область,1.0,46.1,10.4,19.0,24.0,Дизайнерский,9300000.0
Вторичное,опалиха,6.0,Московская область,1.0,45.8,12.8,14.0,17.0,Евроремонт,9300000.0
Вторичное,аникеевка,3.0,Московская область,1.0,59.34,14.5,3.0,3.0,Без ремонта,9316380.0
Вторичное,опалиха,15.0,Московская область,1.0,54.0,12.0,7.0,10.0,Евроремонт,9300000.0
Вторичное,аникеевка,6.0,Московская область,1.0,44.6,10.4,19.0,24.0,Евроремонт,9350000.0
Вторичное,пенягино,14.0,Московская область,1.0,33.0,6.0,13.0,16.0,Евроремонт,9400000.0
Вторичное,пенягино,11.0,Московская область,1.0,42.3,8.5,3.0,16.0,Косметический,9500000.0
Вторичное,пенягино,14.0,Московская область,1.0,35.0,20.0,6.0,8.0,Косметический,9500000.0
Вторичное,пенягино,10.0,Московская область,1.0,37.7,8.0,8.0,17.0,Косметический,9500000.0
Вторичное,пенягино,14.0,Московская область,1.0,35.0,9.5,6.0,8.0,Евроремонт,9500000.0
Вторичное,пенягино,9.0,Московская область,1.0,42.0,8.7,7.0,19.0,Евроремонт,9500000.0
Вторичное,опалиха,7.0,Московская область,1.0,40.0,13.5,25.0,25.0,Дизайнерский,9500000.0
Вторичное,опалиха,16.0,Московская область,1.0,34.6,10.0,5.0,8.0,Дизайнерский,9499999.0
Вторичное,опалиха,7.0,Московская область,1.0,40.0,13.5,25.0,25.0,Косметический,9500000.0
Вторичное,аникеевка,17.0,Московская область,1.0,42.8,12.7,4.0,6.0,Дизайнерский,9499999.0
Вторичное,пенягино,7.0,Московская область,1.0,37.8,6.0,2.0,17.0,Косметический,9500000.0
Вторичное,пенягино,6.0,Московская область,1.0,38.7,9.0,6.0,26.0,Евроремонт,9600000.0
Вторичное,павшино,3.0,Московская область,1.0,47.0,12.0,15.0,25.0,Дизайнерский,9600000.0
Вторичное,пенягино,18.0,Московская область,1.0,34.0,9.5,3.0,7.0,Евроремонт,9550000.0
Вторичное,пенягино,7.0,Московская область,1.0,37.0,8.0,3.0,17.0,Евроремонт,9600000.0
Вторичное,пятницкое шоссе,10.0,Московская область,1.0,45.0,12.0,6.0,17.0,Косметический,9700000.0
Вторичное,мякинино,16.0,Московская область,1.0,37.0,9.3,17.0,19.0,Евроремонт,9700000.0
Вторичное,пенягино,16.0,Московская область,1.0,35.0,6.0,8.0,16.0,Евроремонт,9700000.0
Вторичное,павшино,20.0,Московская область,1.0,41.2,20.0,17.0,25.0,Дизайнерский,9700000.0
Вторичное,мякинино,15.0,Московская область,1.0,40.2,13.0,21.0,23.0,Косметический,9800000.0
Вторичное,опалиха,6.0,Московская область,1.0,46.1,10.5,9.0,17.0,Евроремонт,9800000.0
Вторичное,мякинино,20.0,Московская область,2.0,60.7,13.0,2.0,7.0,Косметический,12550000.0
Вторичное,павшино,11.0,Московская область,2.0,42.0,6.0,5.0,5.0,Косметический,7500000.0
Вторичное,опалиха,17.0,Московская область,2.0,61.0,12.0,6.0,8.0,Без ремонта,11690000.0
Вторичное,аникеевка,16.0,Московская область,2.0,70.1,12.4,4.0,6.0,Косметический,12700000.0
Вторичное,пенягино,19.0,Московская область,2.0,46.1,14.6,4.0,15.0,Дизайнерский,12650000.0
Вторичное,пенягино,18.0,Московская область,2.0,68.0,17.0,8.0,16.0,Дизайнерский,18000000.0
Вторичное,пенягино,10.0,Московская область,2.0,73.5,13.3,6.0,22.0,Без ремонта,12546450.0
Вторичное,опалиха,6.0,Московская область,2.0,56.0,13.0,3.0,24.0,Дизайнерский,11500000.0
Вторичное,митино,17.0,Московская область,2.0,44.0,7.0,1.0,8.0,Евроремонт,9500000.0
Вторичное,митино,11.0,Московская область,2.0,50.3,6.0,22.0,25.0,Евроремонт,10500000.0
Вторичное,митино,14.0,Московская область,2.0,64.4,13.6,7.0,9.0,Евроремонт,11190000.0
Вторичное,пенягино,15.0,Московская область,2.0,40.0,6.5,8.0,16.0,Дизайнерский,11500000.0
Вторичное,опалиха,6.0,Московская область,2.0,60.7,11.7,7.0,17.0,Евроремонт,12500000.0
Вторичное,мякинино,14.0,Московская область,2.0,109.0,15.0,8.0,8.0,Дизайнерский,11086692.0
Вторичное,мякинино,14.0,Московская область,2.0,78.6,13.1,3.0,4.0,Дизайнерский,11086692.0
Вторичное,мякинино,14.0,Московская область,2.0,79.3,13.2,3.0,4.0,Дизайнерский,11086692.0
Вторичное,аникеевка,5.0,Московская область,2.0,35.0,16.0,3.0,3.0,Дизайнерский,8000000.0
Вторичное,павшино,14.0,Московская область,2.0,43.5,6.0,1.0,5.0,Евроремонт,8500000.0
Вторичное,павшино,5.0,Московская область,2.0,42.0,6.0,5.0,5.0,Косметический,8800000.0
Вторичное,опалиха,7.0,Московская область,2.0,52.0,9.0,8.0,25.0,Косметический,9650000.0
Вторичное,красногорская,9.0,Московская область,2.0,66.0,11.2,10.0,25.0,Евроремонт,9800000.0
Вторичное,павшино,12.0,Московская область,2.0,50.0,10.5,6.0,21.0,Евроремонт,10000000.0
Вторичное,павшино,18.0,Московская область,2.0,47.0,10.5,16.0,18.0,Дизайнерский,10300000.0
Вторичное,красногорская,6.0,Московская область,2.0,47.2,9.0,11.0,12.0,Косметический,10500000.0
Вторичное,опалиха,6.0,Московская область,2.0,52.0,12.0,10.0,26.0,Дизайнерский,10700000.0
Вторичное,красногорская,7.0,Московская область,2.0,51.0,10.0,3.0,17.0,Евроремонт,12300000.0
Вторичное,пенягино,10.0,Московская область,2.0,72.0,12.0,11.0,17.0,Евроремонт,13900000.0
Вторичное,павшино,3.0,Московская область,2.0,61.0,10.0,23.0,25.0,Дизайнерский,13990000.0
Вторичное,опалиха,6.0,Московская область,2.0,63.6,13.0,2.0,8.0,Дизайнерский,16300000.0
Вторичное,мякинино,26.0,Московская область,2.0,91.6,14.3,15.0,25.0,Евроремонт,17500000.0
Вторичное,пенягино,13.0,Московская область,2.0,75.0,20.0,20.0,25.0,Дизайнерский,19900000.0
Вторичное,мякинино,27.0,Московская область,2.0,101.2,15.2,20.0,21.0,Без ремонта,22300000.0
Вторичное,павшино,4.0,Московская область,2.0,40.0,9.9,1.0,3.0,Без ремонта,5500000.0
Вторичное,красногорская,14.0,Московская область,2.0,34.49,5.0,12.0,24.0,Без ремонта,7200000.0
Вторичное,опалиха,7.0,Московская область,2.0,54.0,8.0,9.0,9.0,Косметический,8800000.0
Вторичное,опалиха,4.0,Московская область,2.0,48.6,10.7,7.0,8.0,Евроремонт,10599999.0
Вторичное,опалиха,5.0,Московская область,2.0,50.0,10.8,6.0,8.0,Евроремонт,11000000.0
Вторичное,мякинино,15.0,Московская область,2.0,43.0,5.0,3.0,19.0,Косметический,11000000.0
Вторичное,опалиха,14.0,Московская область,2.0,50.0,10.8,2.0,4.0,Дизайнерский,11000000.0
Вторичное,пенягино,15.0,Московская область,2.0,38.8,9.0,18.0,16.0,Евроремонт,11000000.0
Вторичное,павшино,13.0,Московская область,2.0,55.0,10.0,8.0,25.0,Евроремонт,11250000.0
Вторичное,мякинино,15.0,Московская область,2.0,50.0,9.8,18.0,23.0,Дизайнерский,11600000.0
Вторичное,красногорская,9.0,Московская область,2.0,43.57,18.5,8.0,16.0,Дизайнерский,12000000.0
Вторичное,пенягино,16.0,Московская область,2.0,40.0,9.9,9.0,16.0,Дизайнерский,12800000.0
Вторичное,пенягино,14.0,Московская область,2.0,72.8,12.5,9.0,16.0,Евроремонт,13900000.0
Вторичное,павшино,19.0,Московская область,2.0,43.6,15.2,14.0,16.0,Евроремонт,13900000.0
Вторичное,павшино,3.0,Московская область,2.0,57.0,10.3,18.0,25.0,Дизайнерский,14000000.0
Вторичное,пенягино,11.0,Московская область,2.0,64.0,10.0,14.0,20.0,Евроремонт,13990000.0
Вторичное,пенягино,9.0,Московская область,2.0,61.0,12.0,16.0,17.0,Евроремонт,14300000.0
Вторичное,павшино,3.0,Московская область,2.0,88.0,15.0,17.0,25.0,Евроремонт,15500000.0
Вторичное,волоколамская,15.0,Московская область,2.0,60.0,10.0,23.0,29.0,Евроремонт,15991000.0
Вторичное,митино,6.0,Московская область,2.0,72.2,14.7,10.0,18.0,Евроремонт,16400000.0
Вторичное,красногорская,15.0,Московская область,2.0,36.94,5.0,19.0,23.0,Без ремонта,8200000.0
Вторичное,опалиха,12.0,Московская область,2.0,58.0,15.0,23.0,26.0,Косметический,9600000.0
Вторичное,павшино,13.0,Московская область,2.0,57.0,10.0,2.0,5.0,Косметический,11300000.0
Вторичное,пенягино,14.0,Московская область,2.0,38.8,9.0,18.0,16.0,Евроремонт,11500000.0
Вторичное,строгино,8.0,Московская область,2.0,48.0,10.0,13.0,33.0,Евроремонт,11500000.0
Вторичное,пенягино,18.0,Московская область,2.0,44.0,10.0,3.0,16.0,Евроремонт,11950000.0
Вторичное,мякинино,20.0,Московская область,2.0,43.5,11.0,19.0,23.0,Дизайнерский,12300000.0
Вторичное,красногорская,6.0,Московская область,2.0,57.9,11.4,12.0,17.0,Косметический,12400000.0
Вторичное,опалиха,11.0,Московская область,2.0,49.6,9.0,3.0,7.0,Дизайнерский,12400000.0
Вторичное,пенягино,16.0,Московская область,2.0,40.4,10.0,8.0,16.0,Дизайнерский,12450000.0
Вторичное,опалиха,12.0,Московская область,2.0,73.2,20.8,8.0,9.0,Евроремонт,13300000.0
Вторичное,пенягино,16.0,Московская область,2.0,43.0,10.2,20.0,16.0,Дизайнерский,13760000.0
Вторичное,аникеевка,7.0,Московская область,2.0,80.0,14.0,13.0,24.0,Евроремонт,13800000.0
Вторичное,мякинино,26.0,Московская область,2.0,60.0,14.0,14.0,25.0,Дизайнерский,14500000.0
Вторичное,пенягино,6.0,Московская область,2.0,65.0,14.0,10.0,26.0,Евроремонт,14500000.0
Вторичное,мякинино,20.0,Московская область,2.0,71.1,15.0,2.0,22.0,Евроремонт,15399000.0
Вторичное,мякинино,14.0,Московская область,2.0,82.5,22.0,15.0,24.0,Евроремонт,15800000.0
Вторичное,мякинино,16.0,Московская область,2.0,73.2,16.0,20.0,20.0,Косметический,16000000.0
Вторичное,опалиха,7.0,Московская область,2.0,41.0,5.0,2.0,2.0,Косметический,5550000.0
Вторичное,опалиха,16.0,Московская область,2.0,43.6,6.0,4.0,4.0,Косметический,6500000.0
Вторичное,опалиха,4.0,Московская область,2.0,33.3,8.0,2.0,8.0,Косметический,6600000.0
Вторичное,красногорская,7.0,Московская область,2.0,45.0,6.0,4.0,5.0,Косметический,6950000.0
Вторичное,павшино,11.0,Московская область,2.0,41.6,10.1,4.0,5.0,Косметический,7350000.0
Вторичное,опалиха,12.0,Московская область,2.0,42.6,10.2,8.0,12.0,Без ремонта,7500000.0
Вторичное,павшино,20.0,Московская область,2.0,47.0,10.0,11.0,25.0,Без ремонта,7500000.0
Вторичное,красногорская,4.0,Московская область,2.0,42.0,6.0,5.0,5.0,Косметический,7700000.0
Вторичное,митино,8.0,Московская область,2.0,44.6,6.0,1.0,4.0,Косметический,7700000.0
Вторичное,опалиха,6.0,Московская область,2.0,38.0,8.0,4.0,26.0,Дизайнерский,7800000.0
Вторичное,опалиха,6.0,Московская область,2.0,50.0,10.8,8.0,9.0,Косметический,8000000.0
Вторичное,красногорская,13.0,Московская область,2.0,45.0,10.4,4.0,5.0,Евроремонт,8000000.0
Вторичное,павшино,5.0,Московская область,2.0,43.8,8.0,9.0,9.0,Косметический,8300000.0
Вторичное,красногорская,7.0,Московская область,2.0,47.4,8.9,6.0,12.0,Без ремонта,8500000.0
Вторичное,павшино,10.0,Московская область,2.0,42.9,5.9,1.0,5.0,Косметический,8600000.0
Вторичное,красногорская,7.0,Московская область,2.0,50.0,21.0,3.0,14.0,Косметический,8600000.0
Вторичное,опалиха,2.0,Московская область,2.0,44.0,10.5,1.0,8.0,Без ремонта,8550000.0
Вторичное,красногорская,6.0,Московская область,2.0,51.6,9.0,5.0,9.0,Косметический,8700000.0
Вторичное,опалиха,5.0,Московская область,2.0,53.4,9.0,2.0,5.0,Косметический,8750000.0
Вторичное,опалиха,6.0,Московская область,2.0,48.6,10.0,15.0,26.0,Косметический,8950000.0
Вторичное,опалиха,5.0,Московская область,2.0,54.0,9.0,6.0,9.0,Косметический,9000000.0
Вторичное,пенягино,18.0,Московская область,2.0,42.6,10.2,1.0,16.0,Евроремонт,9070000.0
Вторичное,аникеевка,3.0,Московская область,2.0,60.9,14.0,1.0,3.0,Без ремонта,9074100.0
Вторичное,павшино,6.0,Московская область,2.0,44.8,6.0,4.0,5.0,Косметический,9000000.0
Вторичное,аникеевка,3.0,Московская область,2.0,60.0,14.0,2.0,3.0,Без ремонта,9103900.0
Вторичное,красногорская,12.0,Московская область,2.0,53.1,11.0,14.0,18.0,Косметический,9150000.0
Вторичное,опалиха,15.0,Московская область,2.0,52.0,11.0,11.0,12.0,Без ремонта,9200000.0
Вторичное,опалиха,6.0,Московская область,2.0,48.8,10.0,8.0,26.0,Косметический,9200000.0
Вторичное,опалиха,6.0,Московская область,2.0,47.2,10.5,1.0,8.0,Косметический,9200000.0
Вторичное,опалиха,5.0,Московская область,2.0,57.0,14.2,1.0,8.0,Без ремонта,9250000.0
