Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Новостройка,котельники,10.0,Московская область,3.0,79.64,13.2,10.0,17.0,Косметический,8043640.0
Новостройка,котельники,10.0,Московская область,1.0,35.29,9.6,10.0,17.0,Косметический,5152340.0
Новостройка,котельники,10.0,Московская область,3.0,80.65,13.3,17.0,17.0,Косметический,7823050.0
Новостройка,котельники,10.0,Московская область,3.0,80.65,13.3,18.0,17.0,Косметический,7823050.0
Новостройка,котельники,10.0,Московская область,2.0,57.46,11.4,8.0,17.0,Косметический,6895200.0
Новостройка,котельники,10.0,Московская область,2.0,57.46,11.4,15.0,17.0,Косметический,6780280.0
Новостройка,котельники,10.0,Московская область,1.0,35.29,9.6,21.0,17.0,Косметический,5258210.0
Новостройка,котельники,10.0,Московская область,1.0,34.28,9.5,3.0,17.0,Косметический,4799200.0
Новостройка,котельники,10.0,Московская область,1.0,34.28,9.5,10.0,17.0,Косметический,5039160.0
Новостройка,котельники,10.0,Московская область,1.0,34.28,9.5,18.0,17.0,Косметический,4936320.0
Новостройка,котельники,10.0,Московская область,0.0,28.23,9.0,6.0,17.0,Косметический,4319190.0
Новостройка,котельники,10.0,Московская область,0.0,27.22,8.9,6.0,17.0,Косметический,4164660.0
Новостройка,котельники,10.0,Московская область,2.0,59.48,11.6,12.0,17.0,Косметический,7494480.0
Новостройка,котельники,10.0,Московская область,2.0,59.48,11.6,14.0,17.0,Косметический,7494480.0
Новостройка,котельники,10.0,Московская область,1.0,38.21,9.8,2.0,17.0,Косметический,5196560.0
Новостройка,котельники,10.0,Московская область,1.0,37.3,9.7,4.0,17.0,Косметический,5072800.0
Новостройка,котельники,10.0,Московская область,3.0,75.61,12.9,9.0,17.0,Косметический,8241490.0
Новостройка,котельники,10.0,Московская область,2.0,60.49,11.6,13.0,17.0,Косметический,6593410.0
Новостройка,котельники,10.0,Московская область,1.0,41.34,10.1,13.0,17.0,Косметический,5332860.0
Новостройка,котельники,10.0,Московская область,2.0,60.49,11.6,18.0,17.0,Косметический,6411940.0
Новостройка,котельники,10.0,Московская область,3.0,75.61,12.9,11.0,17.0,Косметический,8241490.0
Новостройка,котельники,10.0,Московская область,0.0,28.23,9.0,12.0,17.0,Косметический,4319190.0
Новостройка,жулебино,8.0,Московская область,0.0,27.0,8.9,4.0,14.0,Косметический,4131000.0
Новостройка,жулебино,7.0,Московская область,3.0,75.7,12.9,2.0,14.0,Косметический,8916000.0
Новостройка,жулебино,7.0,Московская область,2.0,58.8,11.5,22.0,14.0,Косметический,7408800.0
Новостройка,жулебино,8.0,Московская область,1.0,36.48,9.7,4.0,14.0,Косметический,5289600.0
Новостройка,жулебино,8.0,Московская область,0.0,27.73,8.9,13.0,14.0,Косметический,4519990.0
Новостройка,жулебино,8.0,Московская область,3.0,75.84,12.9,5.0,14.0,Косметический,8190720.0
Новостройка,жулебино,8.0,Московская область,0.0,26.66,8.8,7.0,14.0,Косметический,4105640.0
Новостройка,жулебино,8.0,Московская область,0.0,26.66,8.8,8.0,14.0,Косметический,4105640.0
Новостройка,жулебино,8.0,Московская область,3.0,75.84,12.9,11.0,14.0,Косметический,8190720.0
Новостройка,жулебино,8.0,Московская область,1.0,34.11,9.5,5.0,14.0,Косметический,5150610.0
Новостройка,жулебино,8.0,Московская область,1.0,34.11,9.5,12.0,14.0,Косметический,5150610.0
Новостройка,жулебино,8.0,Московская область,1.0,41.29,10.1,12.0,14.0,Косметический,5491570.0
Новостройка,жулебино,8.0,Московская область,1.0,34.11,9.5,14.0,14.0,Косметический,5150610.0
Новостройка,жулебино,8.0,Московская область,1.0,41.29,10.1,14.0,14.0,Косметический,5491570.0
Новостройка,жулебино,8.0,Московская область,1.0,41.29,10.1,15.0,14.0,Косметический,5408990.0
Новостройка,жулебино,8.0,Московская область,2.0,53.42,11.1,19.0,14.0,Косметический,6624080.0
Новостройка,жулебино,8.0,Московская область,2.0,59.67,11.6,20.0,14.0,Косметический,6504030.0
Новостройка,жулебино,8.0,Московская область,2.0,49.87,10.8,14.0,14.0,Косметический,6183880.0
Новостройка,жулебино,8.0,Московская область,2.0,49.87,10.8,25.0,14.0,Косметический,6383360.0
Новостройка,жулебино,8.0,Московская область,3.0,78.97,13.2,8.0,14.0,Косметический,7975970.0
Новостройка,жулебино,8.0,Московская область,2.0,49.87,10.8,22.0,14.0,Косметический,6134010.0
Новостройка,жулебино,8.0,Московская область,1.0,36.04,9.6,2.0,14.0,Косметический,5225800.0
Новостройка,жулебино,8.0,Московская область,1.0,40.71,10.0,2.0,14.0,Косметический,5292300.0
Новостройка,жулебино,8.0,Московская область,0.0,27.73,8.9,10.0,14.0,Косметический,4381340.0
Новостройка,жулебино,8.0,Московская область,1.0,34.52,9.5,15.0,14.0,Косметический,5108960.0
Новостройка,жулебино,8.0,Московская область,1.0,34.52,9.5,17.0,14.0,Косметический,5108960.0
Новостройка,жулебино,8.0,Московская область,1.0,33.72,9.4,4.0,14.0,Косметический,4855680.0
Новостройка,жулебино,8.0,Московская область,1.0,32.5,9.3,5.0,14.0,Косметический,5070000.0
Новостройка,жулебино,8.0,Московская область,1.0,33.87,9.4,6.0,14.0,Косметический,4945020.0
Новостройка,жулебино,8.0,Московская область,1.0,32.5,9.3,6.0,14.0,Косметический,5070000.0
Новостройка,жулебино,8.0,Московская область,1.0,33.87,9.4,9.0,14.0,Косметический,4945020.0
Новостройка,жулебино,8.0,Московская область,3.0,70.28,12.5,11.0,14.0,Косметический,7590240.0
Новостройка,жулебино,8.0,Московская область,1.0,32.5,9.3,11.0,14.0,Косметический,5070000.0
Новостройка,жулебино,8.0,Московская область,1.0,32.5,9.3,12.0,14.0,Косметический,5070000.0
Новостройка,жулебино,8.0,Московская область,3.0,70.28,12.5,16.0,14.0,Косметический,7449680.0
Новостройка,жулебино,8.0,Московская область,1.0,41.37,10.1,6.0,14.0,Косметический,5584950.0
Новостройка,жулебино,8.0,Московская область,1.0,41.37,10.1,8.0,14.0,Косметический,5584950.0
Новостройка,жулебино,8.0,Московская область,0.0,27.87,8.9,2.0,14.0,Косметический,4319850.0
