,const,Количество комнат,Площадь,Цена
369,1.0,3.0,188.5,175000000.0
370,1.0,3.0,90.0,27300000.0
371,1.0,3.0,90.8,33800000.0
372,1.0,3.0,81.6,45000000.0
373,1.0,3.0,126.0,59850000.0
374,1.0,3.0,94.1,41000000.0
375,1.0,3.0,118.6,43000000.0
376,1.0,3.0,93.8,53000000.0
377,1.0,3.0,91.0,55000000.0
378,1.0,3.0,103.0,64000000.0
379,1.0,3.0,91.0,72000000.0
380,1.0,3.0,105.0,75000000.0
381,1.0,3.0,130.0,99000000.0
382,1.0,3.0,135.0,124000000.0
383,1.0,3.0,85.5,48990000.0
384,1.0,3.0,126.3,75000000.0
385,1.0,3.0,95.0,145000000.0
386,1.0,3.0,152.5,205875000.0
387,1.0,3.0,127.4,56000000.0
388,1.0,3.0,75.3,65000000.0
389,1.0,3.0,187.0,115000000.0
390,1.0,3.0,163.7,224900000.0
391,1.0,3.0,80.0,23800000.0
392,1.0,3.0,92.9,36000000.0
393,1.0,3.0,190.0,113500000.0
394,1.0,3.0,118.7,142440000.0
395,1.0,3.0,72.2,34000000.0
396,1.0,3.0,98.5,35490000.0
397,1.0,3.0,133.0,52000000.0
398,1.0,3.0,99.0,56500000.0
399,1.0,3.0,76.0,59000000.0
400,1.0,3.0,184.6,182000000.0
401,1.0,3.0,75.0,46900000.0
402,1.0,3.0,143.3,48500000.0
403,1.0,3.0,98.2,51000000.0
404,1.0,3.0,90.0,60000000.0
405,1.0,3.0,192.0,97000000.0
406,1.0,3.0,237.2,224900000.0
407,1.0,3.0,54.0,11990000.0
408,1.0,3.0,62.0,12900000.0
409,1.0,3.0,72.0,15500000.0
410,1.0,3.0,62.0,24800000.0
411,1.0,3.0,62.7,27500000.0
412,1.0,3.0,93.5,31800000.0
413,1.0,3.0,98.0,64000000.0
414,1.0,3.0,104.0,74800000.0
415,1.0,3.0,192.0,105000000.0
416,1.0,3.0,71.2,44988700.0
417,1.0,3.0,84.0,64500000.0
418,1.0,3.0,127.6,128000000.0
419,1.0,3.0,94.0,153000000.0
420,1.0,3.0,57.4,26700000.0
421,1.0,3.0,81.25,39500000.0
422,1.0,3.0,77.2,41500000.0
423,1.0,3.0,70.0,42990000.0
424,1.0,3.0,91.5,45000000.0
425,1.0,3.0,99.0,57000000.0
426,1.0,3.0,90.0,64900000.0
427,1.0,3.0,100.0,78000000.0
428,1.0,3.0,105.5,190000000.0
429,1.0,3.0,142.8,250000000.0
430,1.0,3.0,63.0,12000000.0
431,1.0,3.0,60.6,14450000.0
432,1.0,3.0,60.0,14500000.0
433,1.0,3.0,84.0,24287000.0
434,1.0,3.0,80.0,26500000.0
435,1.0,3.0,77.2,33500000.0
436,1.0,3.0,82.0,36900000.0
437,1.0,3.0,78.2,41990000.0
438,1.0,3.0,107.3,45000000.0
439,1.0,3.0,85.8,45000000.0
440,1.0,3.0,91.0,47900000.0
441,1.0,3.0,89.0,49990000.0
442,1.0,3.0,88.6,50990000.0
443,1.0,3.0,121.0,76000000.0
444,1.0,3.0,163.5,82000000.0
445,1.0,3.0,148.7,147213000.0
446,1.0,3.0,105.4,190000000.0
447,1.0,3.0,60.0,12800000.0
448,1.0,3.0,60.0,17650000.0
449,1.0,3.0,55.0,24000050.0
450,1.0,3.0,68.5,30800000.0
451,1.0,3.0,85.0,32300000.0
452,1.0,3.0,57.0,34000000.0
453,1.0,3.0,117.9,39200000.0
454,1.0,3.0,88.0,39700000.0
455,1.0,3.0,90.0,41000000.0
456,1.0,3.0,103.8,44000000.0
457,1.0,3.0,79.0,45000000.0
458,1.0,3.0,123.8,46000000.0
459,1.0,3.0,66.3,49900000.0
460,1.0,3.0,110.0,55000000.0
461,1.0,3.0,90.0,58000000.0
462,1.0,3.0,112.0,64000000.0
463,1.0,3.0,102.9,67000000.0
464,1.0,3.0,100.9,70000000.0
465,1.0,3.0,160.0,69990000.0
466,1.0,3.0,102.0,69900000.0
467,1.0,3.0,120.9,76000000.0
468,1.0,3.0,141.5,93000000.0
469,1.0,3.0,100.0,96000000.0
470,1.0,3.0,126.6,99000000.0
471,1.0,3.0,189.0,115000000.0
472,1.0,3.0,135.0,129990000.0
473,1.0,3.0,100.0,139000000.0
474,1.0,3.0,114.0,160000000.0
475,1.0,3.0,135.0,165000000.0
476,1.0,3.0,160.0,194800000.0
477,1.0,3.0,67.6,27770000.0
478,1.0,3.0,60.1,30500000.0
479,1.0,3.0,65.0,33000000.0
480,1.0,3.0,94.1,33500000.0
481,1.0,3.0,130.2,47000000.0
482,1.0,3.0,109.0,59900000.0
483,1.0,3.0,113.1,64999999.0
484,1.0,3.0,106.4,99000000.0
485,1.0,3.0,146.0,115000000.0
486,1.0,3.0,100.0,139000000.0
487,1.0,3.0,125.3,155000000.0
488,1.0,3.0,85.0,33400000.0
489,1.0,3.0,61.0,35000000.0
490,1.0,3.0,108.0,50000000.0
491,1.0,3.0,212.4,84000000.0
492,1.0,3.0,94.1,153000000.0
493,1.0,4.0,244.1,86200000.0
494,1.0,4.0,115.0,73500000.0
495,1.0,4.0,155.0,146000000.0
496,1.0,4.0,153.0,146000000.0
497,1.0,4.0,94.5,37990000.0
498,1.0,4.0,200.0,145000000.0
499,1.0,4.0,143.0,159000000.0
500,1.0,4.0,233.2,350000000.0
501,1.0,4.0,137.0,169000000.0
502,1.0,4.0,187.0,180000000.0
503,1.0,4.0,108.6,125000000.0
504,1.0,4.0,137.6,169000000.0
505,1.0,4.0,249.0,350000000.0
506,1.0,4.0,108.6,59990000.0
507,1.0,4.0,135.6,71000000.0
508,1.0,4.0,405.0,289000000.0
509,1.0,4.0,115.6,61988000.0
510,1.0,4.0,108.2,43000000.0
511,1.0,4.0,127.5,52500000.0
512,1.0,4.0,92.8,69000000.0
513,1.0,4.0,201.0,95000000.0
514,1.0,4.0,109.0,125000000.0
515,1.0,4.0,170.0,170000000.0
516,1.0,4.0,113.0,42000000.0
517,1.0,4.0,316.0,270000000.0
518,1.0,4.0,89.0,59900000.0
519,1.0,4.0,95.0,68000000.0
520,1.0,4.0,216.0,350000000.0
521,1.0,4.0,167.8,190000000.0
522,1.0,4.0,97.9,40000000.0
523,1.0,4.0,84.8,67000000.0
524,1.0,4.0,135.7,80000000.0
525,1.0,4.0,138.3,83000000.0
526,1.0,4.0,112.8,110000000.0
527,1.0,4.0,225.0,120000000.0
528,1.0,4.0,135.3,125000000.0
529,1.0,4.0,170.0,155000000.0
530,1.0,4.0,240.0,221000000.0
531,1.0,4.0,270.0,249990000.0
532,1.0,4.0,108.0,43000000.0
533,1.0,4.0,203.4,130000000.0
534,1.0,4.0,179.2,155000000.0
535,1.0,4.0,140.0,156000000.0
536,1.0,4.0,186.8,180000000.0
537,1.0,4.0,169.0,92000000.0
538,1.0,4.0,136.5,120000000.0
539,1.0,4.0,179.2,155000000.0
540,1.0,4.0,187.0,180000000.0
541,1.0,4.0,180.0,340000000.0
542,1.0,4.0,135.6,120000000.0
543,1.0,4.0,121.0,130000000.0
544,1.0,4.0,129.4,99000000.0
545,1.0,4.0,106.1,40500000.0
546,1.0,4.0,145.0,79000000.0
547,1.0,4.0,297.0,50000000.0
548,1.0,4.0,145.8,79000000.0
549,1.0,4.0,186.4,80000000.0
550,1.0,4.0,133.5,132000000.0
551,1.0,4.0,171.0,185000000.0
552,1.0,4.0,134.5,61000000.0
553,1.0,4.0,174.0,149600000.0
554,1.0,4.0,118.6,43000000.0
555,1.0,4.0,133.1,155000000.0
556,1.0,4.0,128.0,281600000.0
557,1.0,4.0,95.6,57990000.0
558,1.0,4.0,91.0,72000000.0
559,1.0,4.0,161.0,85000000.0
560,1.0,4.0,145.2,87000000.0
561,1.0,4.0,212.0,114890000.0
562,1.0,4.0,225.7,169275000.0
563,1.0,4.0,170.0,204000000.0
564,1.0,4.0,185.0,250000000.0
565,1.0,4.0,120.8,53000000.0
566,1.0,4.0,186.6,180000000.0
567,1.0,4.0,140.0,179000000.0
568,1.0,4.0,107.0,52000000.0
569,1.0,4.0,147.0,83000000.0
570,1.0,4.0,128.9,93000000.0
571,1.0,4.0,332.0,145000000.0
572,1.0,4.0,179.2,155000000.0
573,1.0,4.0,187.0,180000000.0
574,1.0,4.0,111.2,56000000.0
575,1.0,4.0,145.0,59900000.0
576,1.0,4.0,105.0,65000000.0
577,1.0,4.0,184.5,70000000.0
578,1.0,4.0,132.9,78500000.0
579,1.0,4.0,132.0,81700000.0
580,1.0,4.0,118.0,104500000.0
581,1.0,4.0,121.0,120000000.0
582,1.0,4.0,167.0,144500000.0
583,1.0,4.0,170.0,163990000.0
584,1.0,4.0,116.0,61488700.0
585,1.0,4.0,185.0,70000000.0
586,1.0,4.0,165.0,74700000.0
587,1.0,4.0,184.5,70000000.0
588,1.0,4.0,85.8,62970000.0
589,1.0,4.0,110.0,82400000.0
590,1.0,4.0,195.2,176400000.0
591,1.0,4.0,122.0,43000000.0
592,1.0,4.0,105.0,72100000.0
593,1.0,4.0,116.0,80000000.0
594,1.0,4.0,117.0,82000000.0
595,1.0,4.0,160.0,85000000.0
596,1.0,4.0,145.2,87000000.0
