Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
99,12.0,1.0,46.0,13.0,15.0,16.0,1,0,0,1,0,0,0,1,8990000.0
180,8.0,1.0,42.9,13.0,1.0,24.0,1,0,0,1,0,1,0,0,8999999.0
9,6.0,1.0,45.0,13.0,8.0,24.0,1,0,0,1,0,0,1,0,8950000.0
185,10.0,1.0,39.0,10.0,16.0,25.0,1,0,0,1,0,0,1,0,8900000.0
145,24.0,1.0,40.5,12.0,16.0,25.0,1,0,0,1,0,0,1,0,8900000.0
185,12.0,1.0,39.7,9.9,10.0,25.0,1,0,0,1,0,0,0,1,8950000.0
180,19.0,1.0,39.9,8.0,16.0,17.0,1,0,0,1,0,0,1,0,9050000.0
244,8.0,1.0,38.0,15.0,7.0,33.0,1,0,0,1,0,0,1,0,9000000.0
180,8.0,1.0,40.0,20.0,10.0,21.0,1,0,0,1,0,0,1,0,9249000.0
173,6.0,1.0,46.1,10.4,19.0,24.0,1,0,0,1,0,1,0,0,9300000.0
173,6.0,1.0,45.8,12.8,14.0,17.0,1,0,0,1,0,0,1,0,9300000.0
9,3.0,1.0,59.34,14.5,3.0,3.0,1,0,0,1,1,0,0,0,9316380.0
173,15.0,1.0,54.0,12.0,7.0,10.0,1,0,0,1,0,0,1,0,9300000.0
9,6.0,1.0,44.6,10.4,19.0,24.0,1,0,0,1,0,0,1,0,9350000.0
185,14.0,1.0,33.0,6.0,13.0,16.0,1,0,0,1,0,0,1,0,9400000.0
185,11.0,1.0,42.3,8.5,3.0,16.0,1,0,0,1,0,0,0,1,9500000.0
185,14.0,1.0,35.0,20.0,6.0,8.0,1,0,0,1,0,0,0,1,9500000.0
185,10.0,1.0,37.7,8.0,8.0,17.0,1,0,0,1,0,0,0,1,9500000.0
185,14.0,1.0,35.0,9.5,6.0,8.0,1,0,0,1,0,0,1,0,9500000.0
185,9.0,1.0,42.0,8.7,7.0,19.0,1,0,0,1,0,0,1,0,9500000.0
173,7.0,1.0,40.0,13.5,25.0,25.0,1,0,0,1,0,1,0,0,9500000.0
173,16.0,1.0,34.6,10.0,5.0,8.0,1,0,0,1,0,1,0,0,9499999.0
173,7.0,1.0,40.0,13.5,25.0,25.0,1,0,0,1,0,0,0,1,9500000.0
9,17.0,1.0,42.8,12.7,4.0,6.0,1,0,0,1,0,1,0,0,9499999.0
185,7.0,1.0,37.8,6.0,2.0,17.0,1,0,0,1,0,0,0,1,9500000.0
185,6.0,1.0,38.7,9.0,6.0,26.0,1,0,0,1,0,0,1,0,9600000.0
180,3.0,1.0,47.0,12.0,15.0,25.0,1,0,0,1,0,1,0,0,9600000.0
185,18.0,1.0,34.0,9.5,3.0,7.0,1,0,0,1,0,0,1,0,9550000.0
185,7.0,1.0,37.0,8.0,3.0,17.0,1,0,0,1,0,0,1,0,9600000.0
210,10.0,1.0,45.0,12.0,6.0,17.0,1,0,0,1,0,0,0,1,9700000.0
145,16.0,1.0,37.0,9.3,17.0,19.0,1,0,0,1,0,0,1,0,9700000.0
185,16.0,1.0,35.0,6.0,8.0,16.0,1,0,0,1,0,0,1,0,9700000.0
180,20.0,1.0,41.2,20.0,17.0,25.0,1,0,0,1,0,1,0,0,9700000.0
145,15.0,1.0,40.2,13.0,21.0,23.0,1,0,0,1,0,0,0,1,9800000.0
173,6.0,1.0,46.1,10.5,9.0,17.0,1,0,0,1,0,0,1,0,9800000.0
145,20.0,2.0,60.7,13.0,2.0,7.0,1,0,0,1,0,0,0,1,12550000.0
180,11.0,2.0,42.0,6.0,5.0,5.0,1,0,0,1,0,0,0,1,7500000.0
173,17.0,2.0,61.0,12.0,6.0,8.0,1,0,0,1,1,0,0,0,11690000.0
9,16.0,2.0,70.1,12.4,4.0,6.0,1,0,0,1,0,0,0,1,12700000.0
185,19.0,2.0,46.1,14.6,4.0,15.0,1,0,0,1,0,1,0,0,12650000.0
185,18.0,2.0,68.0,17.0,8.0,16.0,1,0,0,1,0,1,0,0,18000000.0
185,10.0,2.0,73.5,13.3,6.0,22.0,1,0,0,1,1,0,0,0,12546450.0
173,6.0,2.0,56.0,13.0,3.0,24.0,1,0,0,1,0,1,0,0,11500000.0
138,17.0,2.0,44.0,7.0,1.0,8.0,1,0,0,1,0,0,1,0,9500000.0
138,11.0,2.0,50.3,6.0,22.0,25.0,1,0,0,1,0,0,1,0,10500000.0
138,14.0,2.0,64.4,13.6,7.0,9.0,1,0,0,1,0,0,1,0,11190000.0
185,15.0,2.0,40.0,6.5,8.0,16.0,1,0,0,1,0,1,0,0,11500000.0
173,6.0,2.0,60.7,11.7,7.0,17.0,1,0,0,1,0,0,1,0,12500000.0
145,14.0,2.0,109.0,15.0,8.0,8.0,1,0,0,1,0,1,0,0,11086692.0
145,14.0,2.0,78.6,13.1,3.0,4.0,1,0,0,1,0,1,0,0,11086692.0
145,14.0,2.0,79.3,13.2,3.0,4.0,1,0,0,1,0,1,0,0,11086692.0
9,5.0,2.0,35.0,16.0,3.0,3.0,1,0,0,1,0,1,0,0,8000000.0
180,14.0,2.0,43.5,6.0,1.0,5.0,1,0,0,1,0,0,1,0,8500000.0
